,Product_Title,Product_Link
0,Energizer E241 - The new smart feature phone | Senior Phone | Keypad Phone |WIFI /Hotspot | WatsApp | Facebook | Youtube | Local Set with 1 Year Warranty | 1900 Big Battery | Dual 3G SIM Support,https://www.lazada.sg/products/energizer-e241-the-new-smart-feature-phone-senior-phone-keypad-phone-wifi-hotspot-watsapp-facebook-youtube-local-set-with-1-year-warranty-1900-big-battery-dual-3g-sim-support-i1231472119-s5024154020.html?search=1&freeshipping=1
1,Y2K 3G Flip Lite Senior Phone (1 year warranty!),https://www.lazada.sg/products/y2k-3g-flip-lite-senior-phone-1-year-warranty-i437902603-s1152962059.html?search=1&freeshipping=1
2,[SG] SIRIN LABS FINNEY - Blockchain Mobile Phone [Exclusive Distributor],https://www.lazada.sg/products/sg-sirin-labs-finney-blockchain-mobile-phone-exclusive-distributor-i346490442-s792226207.html?search=1&freeshipping=1
3,SHARP M1 (3GB/32GB),https://www.lazada.sg/products/sharp-m1-3gb32gb-i244571587-s375241995.html?search=1
4,INO CP168 4G Senior Phone Free Desktop Charger (1 Year Local Warranty) - T2 Electronics,https://www.lazada.sg/products/ino-cp168-4g-senior-phone-free-desktop-charger-1-year-local-warranty-t2-electronics-i1709580136-s8317779352.html?search=1
5,ASUS Rog 5 Asus Rog Phone 5 Smartphone Snapdragon 888 NFC Gaming Mobile Phone Global Rom Local Warranty,https://www.lazada.sg/products/asus-rog-5-asus-rog-phone-5-smartphone-snapdragon-888-nfc-gaming-mobile-phone-global-rom-local-warranty-i1653127535-s7788085257.html?search=1
6,Mobile Phone Original 2021 New M11 Pro 12GB RAM+512GB ROM Large Screen 7.3 Inches Smartphone Android 11.0 WIFI Support Face Recognition Screen Fingerprint Unlock,https://www.lazada.sg/products/mobile-phone-original-2021-new-m11-pro-12gb-ram512gb-rom-large-screen-73-inches-smartphone-android-110-wifi-support-face-recognition-screen-fingerprint-unlock-i1694212716-s8210745933.html?search=1
7,I12 Pro Max Mobile Phone HD Large-screen Face Recognition 12GB+512GB Smartphone Android Cellphone,https://www.lazada.sg/products/i12-pro-max-mobile-phone-hd-large-screen-face-recognition-12gb512gb-smartphone-android-cellphone-i1521346079-s7109732829.html?search=1
8,4GB 128GB Octa Core 10000mAh Battery OUKITEL WP6 Smartphone Rugged IP68 Waterproof Mobile Phone 16MP Triple Cameras 6.3'' FHD,https://www.lazada.sg/products/4gb-128gb-octa-core-10000mah-battery-oukitel-wp6-smartphone-rugged-ip68-waterproof-mobile-phone-16mp-triple-cameras-63-fhd-i974108533-s3491144976.html?search=1&freeshipping=1
9,CLE i11 PRO Max Mobile Phone 6.5 Inch HD Screen 8G+256G Large Memory Fahion Smartphone,https://www.lazada.sg/products/cle-i11-pro-max-mobile-phone-65-inch-hd-screen-8g256g-large-memory-fahion-smartphone-i1338278965-s5617736940.html?search=1
